date,city,state,city_ibge_code,case_inc,death_inc
2020-09-13,Girau do Ponciano,AL,2702900,0,0
2020-09-14,Girau do Ponciano,AL,2702900,0,0
2020-09-15,Girau do Ponciano,AL,2702900,6,0
2020-09-16,Girau do Ponciano,AL,2702900,9,0
2020-09-17,Girau do Ponciano,AL,2702900,0,0
2020-09-18,Girau do Ponciano,AL,2702900,0,0
2020-09-19,Girau do Ponciano,AL,2702900,1,0
2020-09-20,Girau do Ponciano,AL,2702900,0,0
2020-09-21,Girau do Ponciano,AL,2702900,1,0
2020-09-22,Girau do Ponciano,AL,2702900,2,0
2020-09-23,Girau do Ponciano,AL,2702900,9,0
2020-09-24,Girau do Ponciano,AL,2702900,1,0
2020-09-25,Girau do Ponciano,AL,2702900,1,0
2020-09-26,Girau do Ponciano,AL,2702900,0,0
2020-09-27,Girau do Ponciano,AL,2702900,1,1
2020-09-28,Girau do Ponciano,AL,2702900,2,0
2020-09-29,Girau do Ponciano,AL,2702900,5,0
2020-09-30,Girau do Ponciano,AL,2702900,0,0
2020-10-01,Girau do Ponciano,AL,2702900,2,0
2020-10-02,Girau do Ponciano,AL,2702900,0,0
2020-10-03,Girau do Ponciano,AL,2702900,0,0
2020-10-04,Girau do Ponciano,AL,2702900,4,0
2020-10-05,Girau do Ponciano,AL,2702900,0,0
2020-10-06,Girau do Ponciano,AL,2702900,9,0
2020-10-07,Girau do Ponciano,AL,2702900,1,0
2020-10-08,Girau do Ponciano,AL,2702900,0,1
2020-10-09,Girau do Ponciano,AL,2702900,0,0
2020-10-10,Girau do Ponciano,AL,2702900,8,1
2020-10-11,Girau do Ponciano,AL,2702900,0,0
2020-10-12,Girau do Ponciano,AL,2702900,1,0
2020-10-13,Girau do Ponciano,AL,2702900,2,1
2020-10-14,Girau do Ponciano,AL,2702900,0,0
2020-10-15,Girau do Ponciano,AL,2702900,0,0
2020-10-16,Girau do Ponciano,AL,2702900,2,0
2020-10-17,Girau do Ponciano,AL,2702900,0,0
2020-10-18,Girau do Ponciano,AL,2702900,3,1
2020-10-19,Girau do Ponciano,AL,2702900,1,0
2020-10-20,Girau do Ponciano,AL,2702900,4,0
2020-10-21,Girau do Ponciano,AL,2702900,0,1
2020-10-22,Girau do Ponciano,AL,2702900,3,0
2020-10-23,Girau do Ponciano,AL,2702900,1,0
2020-10-24,Girau do Ponciano,AL,2702900,0,0
2020-10-25,Girau do Ponciano,AL,2702900,0,1
2020-10-26,Girau do Ponciano,AL,2702900,0,0
2020-10-27,Girau do Ponciano,AL,2702900,2,0
2020-10-28,Girau do Ponciano,AL,2702900,0,0
2020-10-29,Girau do Ponciano,AL,2702900,1,1
2020-10-30,Girau do Ponciano,AL,2702900,1,0
2020-10-31,Girau do Ponciano,AL,2702900,0,0
2020-11-01,Girau do Ponciano,AL,2702900,0,0
2020-11-02,Girau do Ponciano,AL,2702900,0,0
2020-11-03,Girau do Ponciano,AL,2702900,0,0
2020-11-04,Girau do Ponciano,AL,2702900,0,0
2020-11-05,Girau do Ponciano,AL,2702900,1,0
2020-11-06,Girau do Ponciano,AL,2702900,1,0
2020-11-07,Girau do Ponciano,AL,2702900,4,1
2020-11-08,Girau do Ponciano,AL,2702900,0,0
2020-11-09,Girau do Ponciano,AL,2702900,0,1
2020-11-10,Girau do Ponciano,AL,2702900,1,0
2020-11-11,Girau do Ponciano,AL,2702900,4,0
2020-11-12,Girau do Ponciano,AL,2702900,2,0
2020-11-13,Girau do Ponciano,AL,2702900,0,0
2020-11-14,Girau do Ponciano,AL,2702900,0,0
2020-11-15,Girau do Ponciano,AL,2702900,1,1
2020-11-16,Girau do Ponciano,AL,2702900,0,0
2020-11-17,Girau do Ponciano,AL,2702900,0,0
2020-11-18,Girau do Ponciano,AL,2702900,1,0
2020-09-10,Joaquim Gomes,AL,2703809,0,0
2020-09-11,Joaquim Gomes,AL,2703809,2,0
2020-09-12,Joaquim Gomes,AL,2703809,1,0
2020-09-13,Joaquim Gomes,AL,2703809,1,0
2020-09-14,Joaquim Gomes,AL,2703809,0,0
2020-09-15,Joaquim Gomes,AL,2703809,6,0
2020-09-16,Joaquim Gomes,AL,2703809,2,0
2020-09-17,Joaquim Gomes,AL,2703809,0,0
2020-09-18,Joaquim Gomes,AL,2703809,10,0
2020-09-19,Joaquim Gomes,AL,2703809,11,0
