date,city,state,city_ibge_code,case_inc,death_inc
2020-10-07,Santana do Ipanema,AL,2708006,3,0
2020-10-08,Santana do Ipanema,AL,2708006,7,0
2020-10-09,Santana do Ipanema,AL,2708006,0,0
2020-10-10,Santana do Ipanema,AL,2708006,3,0
2020-10-11,Santana do Ipanema,AL,2708006,1,0
2020-10-12,Santana do Ipanema,AL,2708006,2,0
2020-10-13,Santana do Ipanema,AL,2708006,5,0
2020-10-14,Santana do Ipanema,AL,2708006,2,0
2020-10-15,Santana do Ipanema,AL,2708006,1,0
2020-10-16,Santana do Ipanema,AL,2708006,2,0
2020-10-17,Santana do Ipanema,AL,2708006,3,0
2020-10-18,Santana do Ipanema,AL,2708006,0,0
2020-10-19,Santana do Ipanema,AL,2708006,1,0
2020-10-20,Santana do Ipanema,AL,2708006,0,0
2020-10-21,Santana do Ipanema,AL,2708006,0,0
2020-10-22,Santana do Ipanema,AL,2708006,0,0
2020-10-23,Santana do Ipanema,AL,2708006,1,0
2020-10-24,Santana do Ipanema,AL,2708006,0,0
2020-10-25,Santana do Ipanema,AL,2708006,0,0
2020-10-26,Santana do Ipanema,AL,2708006,1,0
2020-10-27,Santana do Ipanema,AL,2708006,5,0
2020-10-28,Santana do Ipanema,AL,2708006,5,0
2020-10-29,Santana do Ipanema,AL,2708006,2,0
2020-10-30,Santana do Ipanema,AL,2708006,1,0
2020-10-31,Santana do Ipanema,AL,2708006,1,0
2020-11-01,Santana do Ipanema,AL,2708006,1,0
2020-11-02,Santana do Ipanema,AL,2708006,1,0
2020-11-03,Santana do Ipanema,AL,2708006,0,0
2020-11-04,Santana do Ipanema,AL,2708006,2,0
2020-11-05,Santana do Ipanema,AL,2708006,5,0
2020-11-06,Santana do Ipanema,AL,2708006,5,0
2020-11-07,Santana do Ipanema,AL,2708006,2,0
2020-11-08,Santana do Ipanema,AL,2708006,1,0
2020-11-09,Santana do Ipanema,AL,2708006,2,0
2020-11-10,Santana do Ipanema,AL,2708006,3,0
2020-11-11,Santana do Ipanema,AL,2708006,17,0
2020-11-12,Santana do Ipanema,AL,2708006,6,0
2020-11-13,Santana do Ipanema,AL,2708006,3,0
2020-11-14,Santana do Ipanema,AL,2708006,13,0
2020-11-15,Santana do Ipanema,AL,2708006,2,0
2020-11-16,Santana do Ipanema,AL,2708006,0,0
2020-11-17,Santana do Ipanema,AL,2708006,0,0
2020-11-18,Santana do Ipanema,AL,2708006,21,0
