region,date,confirm
Matriz de Camaragibe,2020-10-19,0
Matriz de Camaragibe,2020-10-20,5
Matriz de Camaragibe,2020-10-21,3
Matriz de Camaragibe,2020-10-22,0
Matriz de Camaragibe,2020-10-23,3
Matriz de Camaragibe,2020-10-24,0
Matriz de Camaragibe,2020-10-25,0
Matriz de Camaragibe,2020-10-26,0
Matriz de Camaragibe,2020-10-27,3
Matriz de Camaragibe,2020-10-28,0
Matriz de Camaragibe,2020-10-29,0
Matriz de Camaragibe,2020-10-30,0
Matriz de Camaragibe,2020-10-31,0
Matriz de Camaragibe,2020-11-01,0
Matriz de Camaragibe,2020-11-02,0
Matriz de Camaragibe,2020-11-03,0
Matriz de Camaragibe,2020-11-04,0
Matriz de Camaragibe,2020-11-05,1
Matriz de Camaragibe,2020-11-06,1
Matriz de Camaragibe,2020-11-07,3
Matriz de Camaragibe,2020-11-08,0
Matriz de Camaragibe,2020-11-09,1
Matriz de Camaragibe,2020-11-10,1
Matriz de Camaragibe,2020-11-11,3
Matriz de Camaragibe,2020-11-12,0
Matriz de Camaragibe,2020-11-13,4
Matriz de Camaragibe,2020-11-14,1
Matriz de Camaragibe,2020-11-15,0
Matriz de Camaragibe,2020-11-16,0
Matriz de Camaragibe,2020-11-17,0
Matriz de Camaragibe,2020-11-18,3
Palmeira dos Índios,2020-09-10,1
Palmeira dos Índios,2020-09-11,39
Palmeira dos Índios,2020-09-12,0
Palmeira dos Índios,2020-09-13,12
Palmeira dos Índios,2020-09-14,1
Palmeira dos Índios,2020-09-15,8
Palmeira dos Índios,2020-09-16,8
Palmeira dos Índios,2020-09-17,0
Palmeira dos Índios,2020-09-18,0
Palmeira dos Índios,2020-09-19,7
Palmeira dos Índios,2020-09-20,10
Palmeira dos Índios,2020-09-21,0
Palmeira dos Índios,2020-09-22,4
Palmeira dos Índios,2020-09-23,25
Palmeira dos Índios,2020-09-24,6
Palmeira dos Índios,2020-09-25,3
Palmeira dos Índios,2020-09-26,6
Palmeira dos Índios,2020-09-27,10
Palmeira dos Índios,2020-09-28,1
Palmeira dos Índios,2020-09-29,8
Palmeira dos Índios,2020-09-30,13
Palmeira dos Índios,2020-10-01,0
Palmeira dos Índios,2020-10-02,7
Palmeira dos Índios,2020-10-03,4
Palmeira dos Índios,2020-10-04,4
Palmeira dos Índios,2020-10-05,0
Palmeira dos Índios,2020-10-06,6
Palmeira dos Índios,2020-10-07,1
Palmeira dos Índios,2020-10-08,6
Palmeira dos Índios,2020-10-09,6
Palmeira dos Índios,2020-10-10,8
Palmeira dos Índios,2020-10-11,1
Palmeira dos Índios,2020-10-12,6
Palmeira dos Índios,2020-10-13,0
Palmeira dos Índios,2020-10-14,6
Palmeira dos Índios,2020-10-15,2
Palmeira dos Índios,2020-10-16,3
Palmeira dos Índios,2020-10-17,4
Palmeira dos Índios,2020-10-18,9
Palmeira dos Índios,2020-10-19,0
Palmeira dos Índios,2020-10-20,4
Palmeira dos Índios,2020-10-21,3
Palmeira dos Índios,2020-10-22,0
Palmeira dos Índios,2020-10-23,2
Palmeira dos Índios,2020-10-24,9
Palmeira dos Índios,2020-10-25,0
Palmeira dos Índios,2020-10-26,2
Palmeira dos Índios,2020-10-27,2
Palmeira dos Índios,2020-10-28,3
Palmeira dos Índios,2020-10-29,0
Palmeira dos Índios,2020-10-30,7
Palmeira dos Índios,2020-10-31,3
Palmeira dos Índios,2020-11-01,6
Palmeira dos Índios,2020-11-02,3
