region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Palmeira dos Índios,2020-09-23,,estimate,-0.025,-0.025,0.016,-0.048,-0.033,-0.028,-0.022,-0.018,0
Arapiraca,2020-10-04,,estimate,-0.025,-0.024,0.02,-0.055,-0.037,-0.029,-0.02,-0.013,0.009
Penedo,2020-10-29,,estimate,-0.024,-0.026,0.036,-0.085,-0.045,-0.031,-0.017,-0.007,0.033
Palmeira dos Índios,2020-09-24,,estimate,-0.024,-0.024,0.016,-0.048,-0.033,-0.027,-0.022,-0.017,0.002
Marechal Deodoro,2020-10-07,,estimate,-0.024,-0.024,0.033,-0.075,-0.045,-0.033,-0.016,-0.003,0.03
Palmeira dos Índios,2020-09-26,,estimate,-0.024,-0.023,0.017,-0.048,-0.031,-0.026,-0.021,-0.016,0.006
Palmeira dos Índios,2020-09-25,,estimate,-0.024,-0.023,0.017,-0.047,-0.032,-0.027,-0.021,-0.017,0.004
Maceió,2020-10-12,,estimate,-0.024,-0.022,0.03,-0.067,-0.041,-0.031,-0.017,-0.005,0.028
Penedo,2020-10-08,,estimate,-0.023,-0.028,0.027,-0.079,-0.042,-0.029,-0.018,-0.011,0.006
Penedo,2020-10-07,,estimate,-0.023,-0.028,0.027,-0.079,-0.041,-0.029,-0.017,-0.011,0.007
Penedo,2020-10-10,,estimate,-0.023,-0.027,0.027,-0.077,-0.041,-0.03,-0.018,-0.01,0.009
Penedo,2020-10-09,,estimate,-0.023,-0.027,0.027,-0.077,-0.041,-0.029,-0.018,-0.01,0.008
Penedo,2020-10-11,,estimate,-0.023,-0.026,0.028,-0.076,-0.04,-0.029,-0.018,-0.011,0.011
Penedo,2020-10-12,,estimate,-0.023,-0.026,0.028,-0.075,-0.04,-0.029,-0.018,-0.01,0.013
Penedo,2020-10-13,,estimate,-0.023,-0.025,0.028,-0.072,-0.04,-0.029,-0.018,-0.01,0.013
Penedo,2020-10-28,,estimate,-0.023,-0.025,0.034,-0.081,-0.044,-0.03,-0.017,-0.007,0.028
Santana do Ipanema,2020-10-12,,estimate,-0.023,-0.024,0.028,-0.072,-0.042,-0.03,-0.017,-0.007,0.021
Penedo,2020-10-14,,estimate,-0.023,-0.024,0.028,-0.07,-0.04,-0.029,-0.017,-0.01,0.016
Penedo,2020-10-15,,estimate,-0.023,-0.024,0.029,-0.068,-0.039,-0.028,-0.017,-0.009,0.019
Penedo,2020-10-26,,estimate,-0.023,-0.024,0.03,-0.075,-0.041,-0.029,-0.016,-0.006,0.023
Penedo,2020-10-27,,estimate,-0.023,-0.024,0.032,-0.077,-0.042,-0.03,-0.016,-0.007,0.025
Palmeira dos Índios,2020-09-27,,estimate,-0.023,-0.022,0.017,-0.048,-0.031,-0.026,-0.021,-0.015,0.007
Palmeira dos Índios,2020-09-28,,estimate,-0.023,-0.022,0.017,-0.048,-0.031,-0.025,-0.02,-0.015,0.007
Penedo,2020-10-06,,estimate,-0.022,-0.028,0.027,-0.079,-0.041,-0.029,-0.017,-0.011,0.007
Penedo,2020-10-04,,estimate,-0.022,-0.027,0.027,-0.079,-0.04,-0.027,-0.016,-0.009,0.007
Penedo,2020-10-05,,estimate,-0.022,-0.027,0.027,-0.078,-0.041,-0.028,-0.017,-0.01,0.007
Penedo,2020-10-25,,estimate,-0.022,-0.023,0.029,-0.072,-0.04,-0.029,-0.016,-0.006,0.022
Penedo,2020-10-16,,estimate,-0.022,-0.023,0.029,-0.066,-0.039,-0.028,-0.017,-0.009,0.019
Penedo,2020-10-17,,estimate,-0.022,-0.023,0.029,-0.065,-0.038,-0.028,-0.016,-0.009,0.022
Palmeira dos Índios,2020-09-29,,estimate,-0.022,-0.022,0.017,-0.047,-0.03,-0.025,-0.02,-0.015,0.008
Penedo,2020-10-18,,estimate,-0.022,-0.022,0.029,-0.065,-0.038,-0.027,-0.016,-0.008,0.022
